region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Tabora,Igunga Dc,121484-0,Mabele&#039;s,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mtwara,Masasi Dc,121483-2,NAKARARA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Masasi Dc,121482-4,NDANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Masasi Dc,121481-6,NAMYOMYO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Momba Dc,121480-8,CHOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121479-0,P &amp; G,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mafia Dc,121478-2,Ng&#039;washi,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mtwara,Masasi Dc,121477-4,NJAWALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,121474-1,ALTO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Njombe,Makete Dc,121473-3,USUNGILO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Simanjiro Dc,121472-5,NATTA,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Manyara,Mbulu Dc,121471-7,ADONAI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Babati Dc,121470-9,ESK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Singida,Iramba Dc,121469-1,MAKUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makete Dc,121468-3,BULONGWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Singida,Iramba Dc,121467-5,MISUNA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Newala Dc,121465-9,CHILANGALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Musoma Dc,121464-2,Smai,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Rukwa,Sumbawanga Dc,121462-6,MATANGA,Health Center,Kituo cha Afya,Public,LGA,Operating
Iringa,Mufindi Dc,121461-8,ITULAVANU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Mufindi Dc,121460-0,MAKONGOMI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Mufindi Dc,121459-2,IGOMBAVANU MGAGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Simiyu,Meatu Dc,121458-4,MWANYAHINA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,121457-6,KAGUGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,121456-8,RM MEDICAL LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbarali Dc,121455-0,NYAKADETE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbarali Dc,121454-3,IHEHA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbarali Dc,121453-5,MWANAVALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
