region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mbeya,Busokelo,121408-9,SELYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121407-1,LUSUNGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ilala Mc,121406-3,Muzdalifah Charitable,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Kinondoni Mc,121405-5,Jimmy,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Babati Dc,121404-8,LAURA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Morogoro,Morogoro Dc,121403-0,Kilakala,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Simiyu,Bariadi Dc,121402-2,CHUNGU CHA BAWAWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,121400-6,KIMELEMBE A,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Songea Dc,121399-0,M &amp; J UROSURGICAL,Medical Clinic,Kliniki,Private,For Profit,Operating
Mtwara,Newala Dc,121398-2,TULIENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Newala Dc,121397-4,MTOPWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Ifakara Tc,121396-6,SHALOM,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121395-8,ZUKHANY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,121394-1,FOBAMA,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Mara,Tarime Dc,121393-3,MUGINI,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Coast,Kibaha Dc,121392-5,HOSEA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mara,Rorya Dc,121391-7,MAKONGORO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Rorya Dc,121390-9,RABOUR,Health Center,Kituo cha Afya,Public,LGA,Operating
Mara,Rorya Dc,121389-1,RANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,121388-3,MBINGA COUNCIL,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Songwe,Momba Dc,121387-5,SANTE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Momba Dc,121386-7,ITUMBULA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Momba Dc,121385-9,LWATWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Bumbuli Dc,121384-2,KIDUNDAI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Rorya Dc,121383-4,MUHUNDWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Rorya Dc,121382-6,DETT,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Arusha Cc,121380-0,EL-SHADAI,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Arusha,Arusha Cc,121379-2,TANYA,Basic Dental Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Arusha,Arusha Cc,121378-4,PHYSIOCARE,Physiotherapy Clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,121377-6,ARUSHA SDA,Basic Dental Clinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Arusha,Arusha Cc,121376-8,AVINTA CARE,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,121375-0,R &amp; D,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,121373-5,Trust M&amp;H,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Ruvuma,Songea Dc,121372-7,OPTHAMOLOGY,Eye Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Songea Dc,121371-9,EVERGREEN,PolyClinic,Kliniki,Private,For Profit,Operating
Mwanza,Ilemela Mc,121370-1,DESTINY,PolyClinic,Kliniki,Private,For Profit,Operating
Kagera,Ngara Dc,121369-3,TEMBO NICKEL PROJECT,General Clinic,Kliniki,Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,121368-5,Bi Maria,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121367-7,EBY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Kigoma,Buhigwe Dc,121366-9,MACHINJIONI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Buhigwe Dc,121365-1,KIBIRIZI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Buhigwe Dc,121364-4,KAMALA-BANGWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Bunda Dc,121363-6,MISISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Karagwe Dc,121362-8,KIBONA,Health Center,Kituo cha Afya,Public,LGA,Operating
Kagera,Karagwe Dc,121360-2,KATANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Buchosa Dc,121359-4,Janseen,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kagera,Karagwe Dc,121355-2,RUKOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121354-5,BUMBIGI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Busokelo,121353-7,NKALISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Ilemela Mc,121352-9,Mamecheck,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,121351-1,ALFA AND OMEGA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Shinyanga,Ushetu Dc,121350-3,UPENDO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Kigoma,Kigoma Dc,121349-5,SENGA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,121348-7,JAJOT,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Kigoma,Kakonko Dc,121347-9,RUSENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kakonko Dc,121346-1,LUHURU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kakonko Dc,121345-3,MUGUNZU,Health Center,Kituo cha Afya,Public,LGA,Operating
Kigoma,Kakonko Dc,121344-6,ILABIRO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kakonko Dc,121343-8,CHURAZO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kakonko Dc,121342-0,NYAKIYOBE,Health Center,Kituo cha Afya,Public,LGA,Operating
Kigoma,Kakonko Dc,121341-2,NJOMLOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Tunduma Tc,121340-4,TUNDUMA WELLNESS,Medical Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Coast,Kibaha Dc,121339-6,PENTECOSTAL,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Mtwara,Masasi Dc,121338-8,MTANDI,Health Center,Kituo cha Afya,Public,LGA,Operating
Dodoma,Dodoma Cc,121337-0,NESTA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,121336-2,NAMELOCK,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,121334-7,LESA DENTAL SURGERY,Comprehensive Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,121333-9,A TO Z,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Kyela Dc,121332-1,BYACON,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Dodoma,Kondoa Dc,121331-3,KOLO,Health Center,Kituo cha Afya,Public,LGA,Operating
Dodoma,Kondoa Dc,121330-5,CHOKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kondoa Dc,121329-7,AUSIA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kondoa Dc,121328-9,MURUA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Ifakara Tc,121327-1,Kilombero,Hospital at District Level,Hospitali ya Wilaya,Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,121326-3,HOPE,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Mara,Rorya Dc,121325-5,OLIYO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Chunya Dc,121324-8,ITUMBA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Songwe,Mbozi Dc,121323-0,LUPYANA,PolyClinic,Kliniki,Private,For Profit,Operating
Singida,Iramba Dc,121322-2,KUDEMA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Ruvuma,Songea Dc,121321-4,NANCY,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Arusha,Meru Dc,121320-6,AFRICA AMINI,PolyClinic,Kliniki,Private,NGOs,Operating
Kagera,Kyerwa Dc,121319-8,MJUNIS,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,121318-0,Unicare,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,121317-2,GLITZ,Basic Dental Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Morogoro,Morogoro Dc,121316-4,NASEEM,Specialised Clinic,Kliniki,Private,For Profit,Operating
Coast,Mkuranga Dc,121315-6,FARAJA,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121314-9,MF MSIGANI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Magu Dc,121313-1,SOROMA,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Tabora,Kaliua Dc,121312-3,MODERN,Medical Clinic,Kliniki,Private,For Profit,Operating
Iringa,Iringa Dc,121311-5,IFUNDA,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Kilimanjaro,Moshi Dc,121310-7,MIWALENI.,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Kinondoni Mc,121309-9,MAKUSARO WAZO,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121308-1,MBEZI JUU,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Mara,Bunda Dc,121306-5,WARIKU,Health Center,Kituo cha Afya,Public,LGA,Operating
Manyara,Mbulu Dc,121305-7,ENDAGIKOT,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Bunda Dc,121301-6,NYAMUNYU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Simiyu,Maswa Dc,121300-8,BARIKIWA,Health Center,Kituo cha Afya,Private,NGOs,Operating
Njombe,Njombe Dc,121299-2,SOUTHERN ANGELS,Dialysis Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Mbinga Dc,121298-4,MYAU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Biharamulo Dc,121297-6,KISENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,121296-8,IKANDO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,121295-0,TAGAMENDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Mbulu Dc,121293-5,NAHSEY,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Geita,Chato Dc,121291-9,CHATO COHEST,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kigamboni Mc,121290-1,HUSAWA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Ruvuma,Songea Dc,121289-3,TUNAJALI,Medical Clinic,Kliniki,Private,For Profit,Operating
Tanga,Kilindi Dc,121288-5,ST. AUGUSTINE&#039;S KILEGURU MISSION,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,121287-7,KUMBURU CARE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Mbeya Cc,121286-9,ST JOHN,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Katavi,Mpanda Dc,121285-1,NDOHA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Magu Dc,121284-4,NINA,Health Center,Kituo cha Afya,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121283-6,ROYAL WABORI,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,121281-0,FACE,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121280-2,REVIVE,Physiotherapy Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Dar Es Salaam,Ilala Mc,121279-4,RAMAH,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,121278-6,NDOVU,Specialised Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,121277-8,ZERUBABELI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,121276-0,KILI HOPE,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Kigoma,Kakonko Dc,121275-2,KIHOMOKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,121274-5,KIWANJA CHA NDEGE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kigamboni Mc,121273-7,MADEGE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,121272-9,ST. SUSANA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Ilemela Mc,121271-1,ONANA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Ilemela Mc,121270-3,WAYALLA CHARITABLE,Medical Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Buchosa Dc,121269-5,BUKILIRO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Arusha,Arusha Cc,121268-7,ROSHAN,PolyClinic,Kliniki,Private,For Profit,Operating
Singida,Singida Dc,121267-9,AMRI,Specialised Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,121266-1,ELCT LUTHER,PolyClinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Coast,Kibaha Dc,121265-3,MLANDIZI,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Lindi,Nachingwea Dc,121264-6,ILULU,Medical Clinic,Kliniki,Private,For Profit,Operating
Dodoma,Kondoa Dc,121263-8,MAKAZI,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,121262-0,PIO,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,121261-2,NEW WAVE,Diagnostic Centre,Kingine,Private,Company/Business Name,Operating
Simiyu,Maswa Dc,121260-4,NJIAPANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121258-8,AGHANKIKO,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Kagera,Biharamulo Dc,121257-0,MIGANGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makete Dc,121256-2,KITULO,Health Center,Kituo cha Afya,Public,LGA,Operating
Tabora,Nzega Dc,121255-4,KIGANDU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,121253-9,KATUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,121252-1,HASSAN MWAKASUVI,Health Center,Kituo cha Afya,Public,LGA,Operating
Tabora,Igunga Dc,121250-5,KILUNGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,121248-9,KALANGALE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,121247-1,LOYA,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Ulanga Dc,121246-3,UPENDO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121245-5,SIKAF,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,121244-8,KURASINI,Optometry Clinic,Kliniki,Private,For Profit,Operating
Tanga,Handeni Dc,121243-0,TUMAINI MKATA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121242-2,MED,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,121240-6,ST. JOSEPH,PolyClinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Kagera,Muleba Dc,121239-8,RWOGA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Njombe,Ludewa Dc,121238-0,MUNDINDI,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Mkinga Dc,121237-2,PERANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Mkinga Dc,121236-4,KWEKUYU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Arusha Cc,121235-6,FARAJA PALLOTI,Physiotherapy Clinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,121234-9,AGANYIRA,Maternity and Nursing Home,Kituo cha Uzazi,Private,For Profit,Operating
Kagera,Muleba Dc,121231-5,AMOREK HEALTH CLINIC,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121230-7,IMRAN&#039;S,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121229-9,M.S.,General Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Mwanza,Kwimba Dc,121228-1,HUNGUMALWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Mwanza,Kwimba Dc,121226-5,KIKUBIJI,Health Center,Kituo cha Afya,Public,LGA,Operating
Kagera,Missenyi Dc,121225-7,KASHAMBYA,Health Center,Kituo cha Afya,Private,For Profit,Operating
Geita,Mbogwe Dc,121224-0,MBOGWE,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Kilimanjaro,Mwanga Dc,121223-2,KIRYA,Health Center,Kituo cha Afya,Public,LGA,Operating
Katavi,Mpanda Dc,121222-4,KAWALYOWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Katavi,Mpanda Dc,121221-6,MANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Newala Dc,121220-8,MALATU,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Morogoro Dc,121218-2,H &amp; C,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121216-6,Hitech Sai,PolyClinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121215-8,JAHA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mbeya,Kyela Dc,121214-1,ITUNGE,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Morogoro Dc,121213-3,HISASARA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Buchosa Dc,121212-5,MBIJIWE,Diagnostic Centre,Kingine,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121211-7,Mangesani Charitable,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Mtwara,Tandahimba Dc,121209-1,HB,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Ilemela Mc,121207-5,Rocky City,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Rombo Dc,121206-7,SHIMBI KATI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Rombo Dc,121205-9,MFURUWASHE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Ilemela Mc,121204-2,AFYA KWANZA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121202-6,Double D,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121201-8,STAR HEALTH CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121200-0,FK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,121199-4,Nessa,Health Center,Kituo cha Afya,Private,For Profit,Operating
Mwanza,Buchosa Dc,121198-6,ST. J. BAKHITA HEALTH CARE,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,121197-8,MAHESHI,Health Center,Kituo cha Afya,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121196-0,CHANIKA MODERN,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,121195-2,JS,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Morogoro,Morogoro Dc,121194-5,GOA,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Dodoma,Dodoma Cc,121192-9,HUDUMA,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,121191-1,SULTAN,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121190-3,KALENGA MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121188-7,AREA A,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121187-9,SILVER,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Mbeya Cc,121186-1,WENDA HIGH SCHOOL,Dispensary,Zahanati (Dispensary),Private,NGOs,Operating
Dar Es Salaam,Kinondoni Mc,121185-3,AFYA BORA,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Lindi,Kilwa Dc,121181-2,NAMAKONGORO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ilala Mc,121180-4,ARISE,Specialised Dental Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Tunduru Dc,121179-6,ANGALIA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,121178-8,MCHESI,Health Center,Kituo cha Afya,Public,LGA,Operating
Ruvuma,Tunduru Dc,121177-0,NALASI,Health Center,Kituo cha Afya,Public,LGA,Operating
Ruvuma,Tunduru Dc,121175-4,MASONYA,Health Center,Kituo cha Afya,Public,LGA,Operating
Manyara,Kiteto Dc,121173-9,Calvary,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Kiteto Dc,121172-1,Ahsante,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kigoma,Buhigwe Dc,121171-3,SENGA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,121170-5,MILAN &amp; MILLADA,Specialised Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,121169-7,CENTURY ORAL ARTS,Specialised Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Songwe,Songwe Dc,121168-9,New Luika Gold Mine Clinc,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,121165-5,BURUMAWE,Specialised Clinic,Kliniki,Private,For Profit,Operating
Iringa,Iringa Dc,121164-8,NEEMA REHA,Specialized Polyclinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Mwanza,Buchosa Dc,121163-0,KALISA OPTICAL CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Tunduru Dc,121162-2,MNAZIMMOJA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Ilemela Mc,121161-4,Nyasota,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,121160-6,Life Line,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121159-8,Ruhangas,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,121158-0,MAWENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
